cell	UMAP1	UMAP2	PatientID	condition	fib_state	neut_state	pseudotime
"SAM24410863_356812"	3.97938540953371	-4.43111693887528	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	15.9106716058621
"SAM24410863_825856"	4.12248304861757	-5.15788495569046	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.6265100491333
"SAM24410863_803102"	4.1141751148102	-5.27175700692948	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.7370917522902
"SAM24410863_421421"	3.97793677824709	-4.94165265588578	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.4089066456184
"SAM24410863_136885"	3.82249144095155	-4.67173182992752	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.1044500059313
"SAM24410863_438399"	3.85614851492616	-4.62338483362015	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.0549902907012
"SAM24410863_88536"	3.9006741382477	-4.90967166452225	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3638843146544
"SAM24410863_333867"	4.08943799513551	-4.96024453668412	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.4329989872865
"SAM24410863_213642"	3.76398757475588	-3.81154549150284	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.2700395536031
"SAM24410863_31154"	3.97151378172609	-4.88895022897538	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3522502435929
"SAM24410863_784836"	4.01586917418214	-4.8755759003621	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3445690434147
"SAM24410863_760579"	4.15844515341493	-4.69760024576004	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.199750683143
"SAM24410863_99915"	4.22748926657411	-4.5373977425557	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.079346279282
"SAM24410863_633257"	4.09841588515016	-5.21194827585038	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.678133209541
"SAM24410863_591349"	4.00060657042238	-4.60511052636918	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.079001192396
"SAM24410863_501071"	4.07261732596132	-4.86760222940262	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3438063769149
"SAM24410863_735498"	4.0470877029297	-5.15315377740677	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.6226218879067
"SAM24410863_665664"	4.10081771391603	-5.06989324121293	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.5387659927998
"SAM24410863_167400"	3.90955260771486	-4.90653550653275	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3618913867925
"SAM24410863_771998"	4.04208544272157	-4.72403514413651	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.2013604257501
"SAM24410863_390739"	3.85811189192506	-5.0757426026326	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.5473278010482
"SAM24410863_636844"	4.22295549887392	-4.72206008462723	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.2371151837219
"SAM24410863_63604"	3.7686100341675	-4.78493726281937	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.2039439335918
"SAM24410863_556926"	3.94382980841371	-5.31198155908402	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.7869657360846
"SAM24410863_206558"	4.02674630659792	-4.68801105050858	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.1629309029884
"SAM24410863_641544"	4.02658942717287	-4.55217826394852	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.0357687383089
"SAM24410863_35526"	3.96512797850343	-5.17812716989335	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.6485098143191
"SAM24410863_552832"	4.13106850165102	-4.73796689538773	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.2335270982717
"SAM24410863_283869"	3.79880479353639	-4.70921027688797	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.1361704665149
"SAM24410863_613433"	3.99607327955934	-4.50031745462235	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.9773258629857
"SAM24410863_510975"	3.65859201925966	-4.95900142221268	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.4104151641382
"SAM24410863_9248"	3.87199262160036	-4.4480832818013	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	15.8884037960365
"SAM24410863_269111"	4.17609003561708	-4.43230855493363	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	15.9639189970744
"SAM24410863_857588"	4.06578424948427	-4.90516984491166	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3802141846517
"SAM24410863_111010"	3.7941100932953	-4.63508307962235	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.0483664719964
"SAM24410863_136655"	4.12563160437318	-4.65916526346024	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.1553221807703
"SAM24410863_782705"	3.9384680129883	-4.82572972802933	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.28537104538
"SAM24410863_552059"	3.91184738653871	-4.7414206269246	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.1912276501078
"SAM24410863_465860"	4.06393126028749	-4.98326957254227	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.4547322639531
"SAM24410863_257367"	5.95499328154298	7.67533123464767	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	9.83715703772909
"SAM24410863_735014"	4.17374065893861	-4.78213870553788	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.2717600673901
"SAM24410863_426164"	4.0170870162842	-4.34407889871415	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	15.8426896248952
"SAM24410863_358883"	3.94923857229921	-4.84819066552933	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3090096797646
"SAM24410863_309761"	3.72903731840822	-4.93473756341752	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.3671327126122
"SAM24410863_840252"	4.03845766562196	-5.0703042748433	"P013"	"Inflamed UC"	"Resting crypt-top fibroblast"	NA	16.539874021947
"SAM24410863_403154"	4.23465326803896	-4.4671491387349	"P013"	"Inflamed UC"	"Inflammatory fibroblast"	NA	16.0141197841316
"SAM24410863_636060"	3.92095950621339	-5.27397954492386	"P013"	"Inflamed UC"	"Activated crypt-top fibroblast"	NA	16.7488426055669
